time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2015-01-01T00:00:00.0000000Z,2015-01-01T03:00:00.0000000Z,2015-01-01T00:00:22.3630000Z,2015-01-01T02:59:27.3230000Z,321.0,321.0,317.5,317.87,172.54540574,238
2015-01-01T03:00:00.0000000Z,2015-01-01T06:00:00.0000000Z,2015-01-01T03:00:08.3400000Z,2015-01-01T05:35:13.2770000Z,318.42,318.59,312.6,313.98,837.8505649,419
2015-01-01T06:00:00.0000000Z,2015-01-01T09:00:00.0000000Z,2015-01-01T06:06:36.5570000Z,2015-01-01T08:52:13.5300000Z,314.7,317.11,314.34,316.27,148.67882361,159
2015-01-01T09:00:00.0000000Z,2015-01-01T12:00:00.0000000Z,2015-01-01T09:00:08.7670000Z,2015-01-01T11:57:34.0700000Z,316.01,318.25,314.41,315.57,530.37425301,393
2015-01-01T12:00:00.0000000Z,2015-01-01T15:00:00.0000000Z,2015-01-01T12:00:07.8830000Z,2015-01-01T14:59:52.0400000Z,315.57,317.37,313.68,315.12,362.29114157,261
2015-01-01T15:00:00.0000000Z,2015-01-01T18:00:00.0000000Z,2015-01-01T15:00:11.4000000Z,2015-01-01T17:59:46.3770000Z,315.23,324.99787,313.24,315.45,400.69447678,261
2015-01-01T18:00:00.0000000Z,2015-01-01T21:00:00.0000000Z,2015-01-01T18:00:13.1600000Z,2015-01-01T20:59:18.9270000Z,315.45,315.98,313.6,315.54,310.16451995,265
2015-01-01T21:00:00.0000000Z,2015-01-02T00:00:00.0000000Z,2015-01-01T21:00:12.2700000Z,2015-01-01T23:59:00.9170000Z,315.56,316.55,313.61,313.81,325.27236839,358
2015-01-02T00:00:00.0000000Z,2015-01-02T03:00:00.0000000Z,2015-01-02T00:01:29.3070000Z,2015-01-02T02:59:39.1170000Z,313.82,315.59,311.96,315.34,541.53808964,363
2015-01-02T03:00:00.0000000Z,2015-01-02T06:00:00.0000000Z,2015-01-02T03:00:08.2570000Z,2015-01-02T05:57:10.5530000Z,315.34,315.99,313.17849,315.75,298.02984729,232
2015-01-02T06:00:00.0000000Z,2015-01-02T09:00:00.0000000Z,2015-01-02T06:02:11.3570000Z,2015-01-02T08:58:16.2070000Z,315.72,315.94,312.02,314.88,296.50762721,359
2015-01-02T09:00:00.0000000Z,2015-01-02T12:00:00.0000000Z,2015-01-02T09:01:20.7700000Z,2015-01-02T11:58:46.7500000Z,314.0,319.99999,313.33238,314.3,198.72386188,326
2015-01-02T12:00:00.0000000Z,2015-01-02T15:00:00.0000000Z,2015-01-02T12:00:40.2330000Z,2015-01-02T14:59:49.3530000Z,314.93,320.0,314.3,315.9,478.15145808,309
2015-01-02T15:00:00.0000000Z,2015-01-02T18:00:00.0000000Z,2015-01-02T15:00:07.5430000Z,2015-01-02T17:59:07.5670000Z,315.89,319.99999,313.45,314.84,718.31229384,493
2015-01-02T18:00:00.0000000Z,2015-01-02T21:00:00.0000000Z,2015-01-02T18:00:10.5970000Z,2015-01-02T20:58:19.3430000Z,315.59,316.83,314.06,316.65,533.46993352,513
2015-01-02T21:00:00.0000000Z,2015-01-03T00:00:00.0000000Z,2015-01-02T21:00:07.9670000Z,2015-01-02T23:59:05.0830000Z,316.65,319.99999,313.5,315.42,411.77509693,388
2015-01-03T00:00:00.0000000Z,2015-01-03T03:00:00.0000000Z,2015-01-03T00:00:08.1130000Z,2015-01-03T02:59:45.3430000Z,315.42,316.58,312.9,312.9,431.21880385,356
2015-01-03T03:00:00.0000000Z,2015-01-03T06:00:00.0000000Z,2015-01-03T03:00:00.1730000Z,2015-01-03T05:58:40.1530000Z,312.9,315.3001,311.33,311.69,771.80621326,438
2015-01-03T06:00:00.0000000Z,2015-01-03T09:00:00.0000000Z,2015-01-03T06:00:04.8570000Z,2015-01-03T08:59:14.3070000Z,311.69,313.0,305.00002,307.2,2928.42860582,1259
2015-01-03T09:00:00.0000000Z,2015-01-03T12:00:00.0000000Z,2015-01-03T09:00:09.9300000Z,2015-01-03T11:59:19.3170000Z,306.65,307.43,303.46,304.9,1217.84580518,786
2015-01-03T12:00:00.0000000Z,2015-01-03T15:00:00.0000000Z,2015-01-03T12:00:03.9700000Z,2015-01-03T14:59:59.9600000Z,304.9,319.9338,297.0,299.99,4559.66519282,1853
2015-01-03T15:00:00.0000000Z,2015-01-03T18:00:00.0000000Z,2015-01-03T15:00:03.6000000Z,2015-01-03T17:59:35.0100000Z,299.99,314.99329,299.82,301.0,1163.01501874,901
